PLAYER NAME,AGE,HEIGHT,COUNTRY
Michael Carter-Williams,26,6.6,USA
Michael Kidd-Gilchrist,24,6.7,USA
Mike Conley,30,6.1,USA
Mike James,27,6.1,USA
Mike Muscala,26,6.11,USA
Mike Scott,29,6.11,USA
Miles Plumlee,29,6.11,USA
Milos Teodosic,31,6.5,Serbia
Milton Doyle,24,6.4,USA
Mondaugas Kuzminskas,28,6.9,Lithuania
Mirza Teletovic,32,6.9,Bosnia and Herzegovina
Monte Morris,23,6.3,USA
Montrezl Harrell,24,6.8,USA
Myke Henry,25,6.6,USA
Myles Turner,22,6.11,USA
Nate Wolters,27,6.4,USA
Naz Mitrou-Long,24,6.4,Canada
Nemanja Bjelica,30,6.10,Serbia
Nene,35,6.11,Brazil
Nerlens Noel,24,6.11,USA
Nick Collison,37,6.10,USA
Nick Young,33,6.7,USA
Nicolas Batum,29,6.8,France
Nicolas Brussino,25,6.8,Argentina
Nigel Hayes,23,6.7,USA
Nik Stauskas,24,6.6,Canada
Nikola Jokic,23,6.10,Serbia
Nikola Mirotic,27,6.10,Montenegro
Nikola Vucevic,27,7.0,Montenegro
Noah Vonleh,22,6.9,USA
Norman Powell,25,6.4,USA
O.G. Anunoby,20,6.8,United Kingdom
Okaro White,25,6.8,USA
Omari Johnson,29,6.9,Jamaica
Omer Asik,31,7.0,Turkey
Omri Casspi,30,6.9,Israel
Otto Porter Jr.,25,6.8,USA
P.J. Tucker,33,6.6,USA
PJ Dozier,21,6.6,USA
Pascal Siakam,24,6.9,Cameroon
Pat Connaughton,25,6.5,USA
Patrick Beverley,29,6.1,USA
Patrick McCaw,22,6.7,USA
Patrick Patterson,29,6.9,USA
Patty Mills,29,6.0,Australia
Pau Gasol,37,7.0,Spain
Paul George,28,6.9,USA
Paul Millsap,33,6.8,USA
Paul Zipser,24,6.8,Germany
Quincy Acy,27,6.7,USA
Quincy Pondexter,30,6.7,USA
Quinn Cook,25,6.2,USA
RJ Hunter,24,6.5,USA
Rajon Rondo,32,6.1,USA
Ramson Sessions,32,6.3,USA
Rashad Vaughn,21,6.6,USA
Raul Neto,26,6.1,Brazil
Raymond Felton,34,6.1,USA
Reggie Bullock,27,6.7,USA
Reggie Hearn,26,6.5,USA
Reggie Jackson,28,6.3,USA
Richard Jefferson,38,6.7,USA
Richaun Holmes,24,6.10,USA
Ricky Rubio,27,6.4,Spain
Robert Covington,27,6.9,USA
Robin Lopez,30,7.0,USA
Rodney Hood,25,6.8,USA
Rodney McGruder,26,6.4,USA
Rodney Purvis,24,6.4,USA
Ron Baker,25,6.4,USA
Rondae Hollis-Jefferson,23,6.7,USA
Royce O'Neale,25,6.6,USA
Rudy Gay,31,6.8,USA
Rudy Gobert,26,7.1,France
Russell Westbrook,29,6.3,USA
Ryan Anderson,30,6.10,USA
Ryan Arcidiacono,24,6.3,USA
Salah Mejri,32,7.2,Tunisia
Sam Dekker,24,6.9,USA
Scotty Hopson,28,6.7,USA
Sean Kilpatrick,28,6.4,USA
Semi Ojeleye,23,6.7,USA
Serge Ibaka,28,6.10,DRC
Shabazz Muhammad,25,6.6,USA
Shabazz Napier,26,6.1,USA
Shane Larkin,25,5.11,USA
Shaquille Harrison,24,6.4,USA
Shaun Livingston,32,6.7,USA
Shelvin Mack,28,6.3,USA
Sindarius Thornwell,23,6.5,USA
Skal Labissiere,22,6.11,Haiti
Solomon Hill,27,6.7,USA
Spencer Dinwiddie,25,6.6,USA
Stanley Johnson,22,6.7,USA
Stephen Curry,30,6.3,USA
Sterling Brown,23,6.6,USA
Steven Adams,24,7.0,New Zealand
T.J. Leaf,21,6.10,USA
T.J. McConnell,26,6.2,USA
T.J. Warren,24,6.8,USA
Taj Gibson,33,6.9,USA
Tarik Black,26,6.9,USA
Taurean Prince,24,6.8,USA
Terrance Ferguson,20,6.7,USA
Terrence Ross,27,6.7,USA
Terry Rozier,24,6.2,USA
Thabo Sefolosha,34,6.7,Switzerland
Thaddeus Young,30,6.8,USA
Thomas Bryant,20,6.10,USA
Thon Maker,21,7.1,South Sudan
Tim Frazier,27,6.1,USA
Tim Hardaway Jr.,26,6.6,USA
Tim Quaterman,23,6.6,USA
Timofey Mozgov,31,7.1,Russia
Timothe Luwawu-Cabarrot,23,6.6,France
Tobias Harris,25,6.9,USA
Tomas Satoransky,26,6.7,Czech Republic
Tony Allen,36,6.4,USA
Tony Bradley,20,6.10,USA
Tony Parker,36,6.2,France
Tony Snell,26,6.7,USA
Torrey Craig,27,6.6,USA
Travis Wear,27,6.10,USA
Treveon Graham,24,6.5,USA
Trevor Ariza,33,6.8,USA
Trevor Booker,30,6.8,USA
Trey Burke,25,6.1,USA
Trey Lyles,22,6.10,Canada
Trey McKinney-Jones,27,6.5,USA
Tristan Thompson,27,6.9,Canada
Troy Daniels,26,6.4,USA
Troy Williams,23,6.7,USA
Tyler Cavanaugh,24,6.9,USA
Tyler Dorsey,22,6.5,USA
Tyler Ennis,23,6.3,Canada
Tyler Johnson,26,6.4,USA
Tyler Lydon,22,6.9,USA
Tyler Ulis,22,5.10,USA
Tyler Zeller,28,7.0,USA
Tyreke Evans,28,6.6,USA
Tyrone Wallace,24,6.5,USA
Tyson Chandler,35,7.1,USA
Tyus Jones,22,6.2,USA
Udonis Haslem,38,6.8,USA
Vander Blue,25,6.5,USA
Victor Oladipo,26,6.4,USA
Vince Carter,41,6.6,USA
Vincent Hunter,23,6.8,USA
Wade Baldwin IV,22,6.4,USA
Walt Lemon JR.,25,6.3,USA
Wayne Ellington,30,6.5,USA
Wayne Selden,23,6.5,USA
Wes Iwundu,23,6.7,USA
Wesley Johnson,30,6.7,USA
Wesley Matthews,31,6.5,USA
Will Barton,27,6.6,USA
Willie Cauley-Stein,24,7.0,USA
Willie Reed,28,6.11,USA
Willy Hernangomez,24,6.11,Spain
Wilson Chandler,31,6.9,USA
Xavier Munford,26,6.4,USA
Xavier Rathan-Mayes,24,6.4,Canada
Xavier Silas,30,6.5,USA
Yogi Ferrell,25,6.0,USA
Zach Collins,20,7.0,USA
Zach LaVine,23,6.5,USA
Zach Randolph,36,6.9,USA
Zaza Pachulia,34,6.11,Georgia
Zhou Qi,22,7.1,China
